month,YEAR,PDO,TIME
6,1995,1.27,1995-06-01
6,1996,1.1,1996-06-01
6,1997,2.76,1997-06-01
6,1998,0.4,1998-06-01
6,1999,-1.3,1999-06-01
6,2000,-0.44,2000-06-01
6,2001,-0.47,2001-06-01
6,2002,-0.35,2002-06-01
6,2003,0.68,2003-06-01
6,2004,0.04,2004-06-01
6,2005,1.17,2005-06-01
6,2006,1.04,2006-06-01
6,2007,0.09,2007-06-01
6,2008,-1.34,2008-06-01
6,2009,-0.31,2009-06-01
6,2010,-0.22,2010-06-01
7,1951,0.7,1951-07-01
7,1952,-1.25,1952-07-01
7,1953,0.74,1953-07-01
7,1954,0.43,1954-07-01
7,1955,-2.35,1955-07-01
7,1956,-1.03,1956-07-01
7,1957,0.72,1957-07-01
7,1958,0.89,1958-07-01
7,1959,-0.5,1959-07-01
7,1960,-0.27,1960-07-01
7,1961,-1.22,1961-07-01
7,1962,-1.46,1962-07-01
7,1963,-1.0,1963-07-01
7,1964,-0.51,1964-07-01
7,1965,-0.47,1965-07-01
7,1966,0.26,1966-07-01
7,1967,-0.89,1967-07-01
7,1968,0.53,1968-07-01
7,1969,0.1,1969-07-01
7,1970,-0.68,1970-07-01
7,1971,-2.2,1971-07-01
7,1972,-0.83,1972-07-01
7,1973,-0.57,1973-07-01
7,1974,-0.08,1974-07-01
7,1975,-0.4,1975-07-01
7,1976,0.61,1976-07-01
7,1977,0.19,1977-07-01
7,1978,-1.24,1978-07-01
7,1979,0.84,1979-07-01
7,1980,0.23,1980-07-01
7,1981,0.84,1981-07-01
7,1982,0.58,1982-07-01
7,1983,3.51,1983-07-01
7,1984,-0.18,1984-07-01
7,1985,1.07,1985-07-01
7,1986,1.38,1986-07-01
7,1987,2.01,1987-07-01
7,1988,0.64,1988-07-01
7,1989,0.83,1989-07-01
7,1990,0.27,1990-07-01
7,1991,-0.1,1991-07-01
7,1992,1.9,1992-07-01
7,1993,2.35,1993-07-01
7,1994,0.06,1994-07-01
7,1995,1.71,1995-07-01
7,1996,0.77,1996-07-01
7,1997,2.35,1997-07-01
7,1998,-0.04,1998-07-01
7,1999,-0.66,1999-07-01
7,2000,-0.66,2000-07-01
7,2001,-1.31,2001-07-01
7,2002,-0.31,2002-07-01
7,2003,0.96,2003-07-01
7,2004,0.44,2004-07-01
7,2005,0.66,2005-07-01
7,2006,0.35,2006-07-01
7,2007,0.78,2007-07-01
7,2008,-1.67,2008-07-01
7,2009,-0.53,2009-07-01
7,2010,-1.05,2010-07-01
8,1951,-1.37,1951-08-01
8,1952,-0.6,1952-08-01
8,1953,0.05,1953-08-01
8,1954,0.08,1954-08-01
8,1955,-2.25,1955-08-01
8,1956,-1.16,1956-08-01
8,1957,0.51,1957-08-01
8,1958,1.06,1958-08-01
8,1959,-0.62,1959-08-01
8,1960,-0.38,1960-08-01
8,1961,-1.13,1961-08-01
8,1962,-0.48,1962-08-01
8,1963,-1.03,1963-08-01
8,1964,-1.03,1964-08-01
8,1965,0.2,1965-08-01
8,1966,-0.35,1966-08-01
8,1967,-1.24,1967-08-01
8,1968,0.19,1968-08-01
8,1969,-0.81,1969-08-01
8,1970,-1.63,1970-08-01
8,1971,-0.15,1971-08-01
8,1972,0.25,1972-08-01
8,1973,-1.14,1973-08-01
8,1974,0.27,1974-08-01
8,1975,-1.07,1975-08-01
8,1976,1.28,1976-08-01
8,1977,0.64,1977-08-01
8,1978,-0.56,1978-08-01
8,1979,0.52,1979-08-01
8,1980,0.51,1980-08-01
8,1981,0.18,1981-08-01
8,1982,0.39,1982-08-01
8,1983,1.85,1983-08-01
8,1984,-0.03,1984-08-01
8,1985,0.81,1985-08-01
8,1986,0.22,1986-08-01
8,1987,2.83,1987-08-01
8,1988,0.19,1988-08-01
8,1989,0.09,1989-08-01
8,1990,0.11,1990-08-01
8,1991,0.36,1991-08-01
8,1992,1.44,1992-08-01
8,1993,2.69,1993-08-01
8,1994,-0.79,1994-08-01
8,1995,0.21,1995-08-01
8,1996,-0.14,1996-08-01
8,1997,2.79,1997-08-01
8,1998,-0.22,1998-08-01
8,1999,-0.96,1999-08-01
8,2000,-1.19,2000-08-01
8,2001,-0.77,2001-08-01
8,2002,0.6,2002-08-01
8,2003,0.88,2003-08-01
8,2004,0.85,2004-08-01
8,2005,0.25,2005-08-01
8,2006,-0.65,2006-08-01
8,2007,0.5,2007-08-01
8,2008,-1.7,2008-08-01
8,2009,0.09,2009-08-01
8,2010,-1.27,2010-08-01
9,1951,-0.08,1951-09-01
9,1952,-0.89,1952-09-01
9,1953,-0.63,1953-09-01
9,1954,-0.94,1954-09-01
9,1955,-1.95,1955-09-01
9,1956,-0.71,1956-09-01
9,1957,1.59,1957-09-01
9,1958,0.29,1958-09-01
9,1959,-0.85,1959-09-01
9,1960,-0.94,1960-09-01
9,1961,-2.01,1961-09-01
9,1962,-1.58,1962-09-01
9,1963,0.45,1963-09-01
9,1964,-0.68,1964-09-01
9,1965,0.59,1965-09-01
9,1966,-0.33,1966-09-01
9,1967,-0.72,1967-09-01
9,1968,0.06,1968-09-01
9,1969,-0.66,1969-09-01
9,1970,-1.67,1970-09-01
9,1971,0.21,1971-09-01
9,1972,0.17,1972-09-01
9,1973,-0.51,1973-09-01
9,1974,0.44,1974-09-01
9,1975,-1.23,1975-09-01
9,1976,0.82,1976-09-01
9,1977,-0.55,1977-09-01
9,1978,-0.44,1978-09-01
9,1979,1.0,1979-09-01
9,1980,0.1,1980-09-01
9,1981,0.42,1981-09-01
9,1982,0.84,1982-09-01
9,1983,0.91,1983-09-01
9,1984,0.67,1984-09-01
9,1985,0.44,1985-09-01
9,1986,0.22,1986-09-01
9,1987,2.44,1987-09-01
9,1988,-0.37,1988-09-01
9,1989,0.05,1989-09-01
9,1990,0.38,1990-09-01
9,1991,0.65,1991-09-01
9,1992,0.83,1992-09-01
9,1993,1.56,1993-09-01
9,1994,-1.36,1994-09-01
9,1995,1.16,1995-09-01
9,1996,0.24,1996-09-01
9,1997,2.19,1997-09-01
9,1998,-1.21,1998-09-01
9,1999,-1.53,1999-09-01
9,2000,-1.24,2000-09-01
9,2001,-1.37,2001-09-01
9,2002,0.43,2002-09-01
9,2003,0.01,2003-09-01
