month,year,nino4_temp,nino4_anom,TIME
6,1975,27.85,-1.04,1975-06-01
6,1976,28.33,-0.56,1976-06-01
6,1977,28.87,-0.02,1977-06-01
6,1978,28.54,-0.36,1978-06-01
6,1979,28.74,-0.15,1979-06-01
6,1980,29.1,0.21,1980-06-01
6,1981,28.44,-0.45,1981-06-01
6,1982,29.37,0.47,1982-06-01
6,1983,28.95,0.06,1983-06-01
6,1984,28.34,-0.56,1984-06-01
6,1985,28.11,-0.79,1985-06-01
6,1986,28.84,-0.05,1986-06-01
6,1987,29.49,0.6,1987-06-01
6,1988,28.2,-0.69,1988-06-01
6,1989,28.16,-0.74,1989-06-01
6,1990,28.98,0.08,1990-06-01
6,1991,29.4,0.5,1991-06-01
6,1992,29.25,0.36,1992-06-01
6,1993,29.12,0.23,1993-06-01
6,1994,29.27,0.38,1994-06-01
6,1995,29.16,0.26,1995-06-01
6,1996,28.7,-0.19,1996-06-01
6,1997,29.35,0.46,1997-06-01
6,1998,28.63,-0.26,1998-06-01
6,1999,28.2,-0.7,1999-06-01
6,2000,28.25,-0.64,2000-06-01
6,2001,29.0,0.11,2001-06-01
6,2002,29.63,0.73,2002-06-01
6,2003,29.18,0.29,2003-06-01
6,2004,29.22,0.33,2004-06-01
6,2005,29.18,0.29,2005-06-01
6,2006,29.21,0.31,2006-06-01
6,2007,29.0,0.11,2007-06-01
6,2008,28.12,-0.78,2008-06-01
6,2009,29.23,0.34,2009-06-01
6,2010,28.85,-0.04,2010-06-01
7,1951,28.76,-0.09,1951-07-01
7,1952,28.25,-0.59,1952-07-01
7,1953,28.97,0.13,1953-07-01
7,1954,28.02,-0.83,1954-07-01
7,1955,28.15,-0.7,1955-07-01
7,1956,27.96,-0.88,1956-07-01
7,1957,28.5,-0.34,1957-07-01
7,1958,28.86,0.02,1958-07-01
7,1959,28.43,-0.42,1959-07-01
7,1960,28.22,-0.63,1960-07-01
7,1961,28.34,-0.5,1961-07-01
7,1962,28.26,-0.58,1962-07-01
7,1963,28.63,-0.22,1963-07-01
7,1964,27.96,-0.89,1964-07-01
7,1965,28.93,0.09,1965-07-01
7,1966,29.01,0.17,1966-07-01
7,1967,28.5,-0.34,1967-07-01
7,1968,28.59,-0.25,1968-07-01
7,1969,28.68,-0.17,1969-07-01
7,1970,28.72,-0.12,1970-07-01
7,1971,27.84,-1.0,1971-07-01
7,1972,29.0,0.16,1972-07-01
7,1973,28.05,-0.8,1973-07-01
7,1974,27.89,-0.96,1974-07-01
7,1975,27.62,-1.23,1975-07-01
7,1976,28.35,-0.49,1976-07-01
7,1977,29.01,0.17,1977-07-01
7,1978,28.36,-0.48,1978-07-01
7,1979,28.67,-0.18,1979-07-01
7,1980,28.97,0.12,1980-07-01
7,1981,28.29,-0.55,1981-07-01
7,1982,29.01,0.17,1982-07-01
7,1983,28.69,-0.16,1983-07-01
7,1984,28.34,-0.51,1984-07-01
7,1985,28.4,-0.45,1985-07-01
7,1986,28.86,0.02,1986-07-01
7,1987,29.4,0.56,1987-07-01
7,1988,28.08,-0.76,1988-07-01
7,1989,28.19,-0.65,1989-07-01
7,1990,29.07,0.23,1990-07-01
7,1991,29.42,0.57,1991-07-01
7,1992,29.25,0.41,1992-07-01
7,1993,29.07,0.22,1993-07-01
7,1994,29.42,0.58,1994-07-01
7,1995,28.97,0.13,1995-07-01
7,1996,28.6,-0.24,1996-07-01
7,1997,29.46,0.61,1997-07-01
7,1998,28.42,-0.42,1998-07-01
7,1999,28.02,-0.83,1999-07-01
7,2000,28.38,-0.46,2000-07-01
7,2001,29.13,0.28,2001-07-01
7,2002,29.61,0.77,2002-07-01
7,2003,29.18,0.33,2003-07-01
7,2004,29.33,0.49,2004-07-01
7,2005,28.89,0.05,2005-07-01
7,2006,29.2,0.36,2006-07-01
7,2007,28.89,0.04,2007-07-01
7,2008,28.16,-0.69,2008-07-01
7,2009,29.25,0.41,2009-07-01
7,2010,28.34,-0.5,2010-07-01
8,1951,28.24,-0.52,1951-08-01
8,1952,27.97,-0.8,1952-08-01
8,1953,28.89,0.12,1953-08-01
8,1954,27.7,-1.06,1954-08-01
8,1955,27.74,-1.02,1955-08-01
8,1956,27.54,-1.22,1956-08-01
8,1957,28.74,-0.03,1957-08-01
8,1958,28.77,0.01,1958-08-01
8,1959,28.4,-0.36,1959-08-01
8,1960,28.15,-0.61,1960-08-01
8,1961,28.14,-0.62,1961-08-01
8,1962,28.1,-0.67,1962-08-01
8,1963,28.83,0.07,1963-08-01
8,1964,27.66,-1.11,1964-08-01
8,1965,29.05,0.28,1965-08-01
8,1966,28.65,-0.11,1966-08-01
8,1967,28.31,-0.45,1967-08-01
8,1968,28.6,-0.17,1968-08-01
8,1969,28.78,0.01,1969-08-01
8,1970,28.22,-0.54,1970-08-01
8,1971,27.68,-1.09,1971-08-01
8,1972,28.78,0.02,1972-08-01
8,1973,27.74,-1.02,1973-08-01
8,1974,28.05,-0.72,1974-08-01
8,1975,27.32,-1.45,1975-08-01
8,1976,28.42,-0.35,1976-08-01
8,1977,28.86,0.1,1977-08-01
8,1978,28.17,-0.59,1978-08-01
8,1979,28.49,-0.28,1979-08-01
8,1980,28.56,-0.21,1980-08-01
8,1981,28.15,-0.61,1981-08-01
8,1982,28.9,0.13,1982-08-01
8,1983,28.46,-0.31,1983-08-01
8,1984,28.24,-0.53,1984-08-01
8,1985,28.36,-0.4,1985-08-01
8,1986,29.01,0.24,1986-08-01
8,1987,29.34,0.57,1987-08-01
8,1988,28.25,-0.52,1988-08-01
8,1989,28.15,-0.61,1989-08-01
8,1990,29.09,0.32,1990-08-01
8,1991,29.31,0.54,1991-08-01
8,1992,29.05,0.29,1992-08-01
8,1993,28.96,0.19,1993-08-01
8,1994,29.52,0.76,1994-08-01
8,1995,28.69,-0.07,1995-08-01
8,1996,28.63,-0.14,1996-08-01
8,1997,29.35,0.59,1997-08-01
8,1998,28.1,-0.67,1998-08-01
8,1999,27.96,-0.8,1999-08-01
8,2000,28.3,-0.47,2000-08-01
8,2001,29.05,0.29,2001-08-01
8,2002,29.48,0.71,2002-08-01
8,2003,29.08,0.32,2003-08-01
8,2004,29.37,0.6,2004-08-01
8,2005,28.93,0.17,2005-08-01
8,2006,29.25,0.49,2006-08-01
8,2007,28.65,-0.11,2007-08-01
8,2008,28.19,-0.58,2008-08-01
8,2009,29.33,0.57,2009-08-01
8,2010,27.78,-0.98,2010-08-01
9,1951,28.44,-0.34,1951-09-01
9,1952,28.33,-0.45,1952-09-01
9,1953,28.64,-0.15,1953-09-01
9,1954,27.58,-1.21,1954-09-01
9,1955,27.89,-0.89,1955-09-01
9,1956,27.54,-1.25,1956-09-01
9,1957,28.87,0.09,1957-09-01
9,1958,28.73,-0.06,1958-09-01
9,1959,28.39,-0.39,1959-09-01
9,1960,28.22,-0.56,1960-09-01
9,1961,28.18,-0.61,1961-09-01
9,1962,28.11,-0.67,1962-09-01
9,1963,29.07,0.28,1963-09-01
9,1964,27.29,-1.5,1964-09-01
9,1965,29.01,0.22,1965-09-01
9,1966,28.7,-0.08,1966-09-01
9,1967,28.23,-0.56,1967-09-01
9,1968,28.6,-0.18,1968-09-01
9,1969,29.02,0.23,1969-09-01
9,1970,27.91,-0.88,1970-09-01
9,1971,27.51,-1.27,1971-09-01
9,1972,28.95,0.17,1972-09-01
9,1973,27.56,-1.22,1973-09-01
9,1974,27.83,-0.95,1974-09-01
9,1975,26.95,-1.84,1975-09-01
9,1976,28.47,-0.31,1976-09-01
9,1977,29.03,0.25,1977-09-01
9,1978,28.3,-0.49,1978-09-01
9,1979,28.66,-0.12,1979-09-01
9,1980,28.58,-0.21,1980-09-01
9,1981,28.35,-0.43,1981-09-01
9,1982,29.05,0.27,1982-09-01
9,1983,28.22,-0.57,1983-09-01
9,1984,28.39,-0.39,1984-09-01
9,1985,28.32,-0.46,1985-09-01
9,1986,29.09,0.31,1986-09-01
9,1987,29.53,0.74,1987-09-01
9,1988,28.06,-0.72,1988-09-01
9,1989,28.38,-0.41,1989-09-01
9,1990,29.06,0.28,1990-09-01
9,1991,29.23,0.45,1991-09-01
9,1992,28.91,0.13,1992-09-01
9,1993,29.07,0.29,1993-09-01
9,1994,29.36,0.58,1994-09-01
9,1995,28.53,-0.26,1995-09-01
9,1996,28.55,-0.24,1996-09-01
9,1997,29.46,0.68,1997-09-01
9,1998,28.1,-0.69,1998-09-01
9,1999,28.06,-0.73,1999-09-01
9,2000,28.37,-0.41,2000-09-01
9,2001,29.16,0.37,2001-09-01
9,2002,29.43,0.65,2002-09-01
9,2003,29.13,0.35,2003-09-01
9,2004,29.54,0.75,2004-09-01
9,2005,29.01,0.22,2005-09-01
9,2006,29.44,0.65,2006-09-01
9,2007,28.38,-0.41,2007-09-01
9,2008,28.25,-0.54,2008-09-01
9,2009,29.5,0.72,2009-09-01
9,2010,27.6,-1.18,2010-09-01
10,1951,28.5,-0.27,1951-10-01
10,1952,28.17,-0.61,1952-10-01
10,1953,28.72,-0.06,1953-10-01
10,1954,27.48,-1.29,1954-10-01
10,1955,27.33,-1.45,1955-10-01
10,1956,27.81,-0.96,1956-10-01
10,1957,29.05,0.28,1957-10-01
10,1958,28.86,0.09,1958-10-01
10,1959,28.4,-0.37,1959-10-01
10,1960,28.37,-0.4,1960-10-01
10,1961,27.96,-0.81,1961-10-01
10,1962,28.1,-0.68,1962-10-01
10,1963,29.14,0.37,1963-10-01
10,1964,27.39,-1.39,1964-10-01
10,1965,29.24,0.47,1965-10-01
10,1966,28.66,-0.11,1966-10-01
10,1967,28.36,-0.41,1967-10-01
10,1968,28.71,-0.07,1968-10-01
10,1969,29.18,0.4,1969-10-01
10,1970,27.84,-0.93,1970-10-01
10,1971,27.67,-1.11,1971-10-01
10,1972,29.15,0.37,1972-10-01
10,1973,27.28,-1.49,1973-10-01
10,1974,27.68,-1.09,1974-10-01
10,1975,26.88,-1.89,1975-10-01
10,1976,28.9,0.13,1976-10-01
10,1977,29.02,0.24,1977-10-01
10,1978,28.24,-0.53,1978-10-01
10,1979,28.73,-0.05,1979-10-01
10,1980,28.76,-0.02,1980-10-01
10,1981,28.49,-0.28,1981-10-01
10,1982,29.34,0.56,1982-10-01
10,1983,28.05,-0.73,1983-10-01
10,1984,28.21,-0.56,1984-10-01
10,1985,28.51,-0.26,1985-10-01
10,1986,29.14,0.36,1986-10-01
10,1987,29.6,0.82,1987-10-01
10,1988,27.31,-1.46,1988-10-01
10,1989,28.42,-0.36,1989-10-01
10,1990,29.2,0.43,1990-10-01
10,1991,29.48,0.71,1991-10-01
10,1992,28.83,0.05,1992-10-01
10,1993,28.84,0.06,1993-10-01
10,1994,29.47,0.7,1994-10-01
10,1995,28.48,-0.29,1995-10-01
10,1996,28.56,-0.21,1996-10-01
10,1997,29.43,0.65,1997-10-01
10,1998,27.7,-1.07,1998-10-01
10,1999,28.04,-0.73,1999-10-01
10,2000,28.27,-0.5,2000-10-01
10,2001,29.12,0.34,2001-10-01
10,2002,29.51,0.74,2002-10-01
10,2003,29.29,0.52,2003-10-01
10,2004,29.58,0.81,2004-10-01
10,2005,29.02,0.24,2005-10-01
10,2006,29.48,0.7,2006-10-01
10,2007,28.23,-0.54,2007-10-01
10,2008,28.31,-0.46,2008-10-01
10,2009,29.78,1.0,2009-10-01
10,2010,27.54,-1.23,2010-10-01
11,1951,28.68,-0.03,1951-11-01
11,1952,28.39,-0.31,1952-11-01
11,1953,28.73,0.02,1953-11-01
11,1954,27.84,-0.86,1954-11-01
11,1955,26.93,-1.77,1955-11-01
11,1956,28.02,-0.68,1956-11-01
11,1957,29.03,0.32,1957-11-01
11,1958,28.8,0.09,1958-11-01
11,1959,28.18,-0.52,1959-11-01
11,1960,28.5,-0.2,1960-11-01
11,1961,28.15,-0.56,1961-11-01
11,1962,28.1,-0.6,1962-11-01
11,1963,28.91,0.21,1963-11-01
11,1964,27.23,-1.47,1964-11-01
11,1965,29.2,0.5,1965-11-01
11,1966,28.68,-0.02,1966-11-01
11,1967,28.35,-0.35,1967-11-01
11,1968,29.03,0.33,1968-11-01
11,1969,29.09,0.39,1969-11-01
11,1970,27.81,-0.89,1970-11-01
11,1971,27.88,-0.82,1971-11-01
11,1972,29.26,0.56,1972-11-01
11,1973,27.0,-1.7,1973-11-01
11,1974,27.67,-1.04,1974-11-01
11,1975,26.9,-1.8,1975-11-01
11,1976,28.86,0.15,1976-11-01
11,1977,29.0,0.3,1977-11-01
11,1978,28.39,-0.32,1978-11-01
11,1979,28.91,0.21,1979-11-01
11,1980,28.69,-0.02,1980-11-01
11,1981,28.51,-0.19,1981-11-01
11,1982,29.22,0.52,1982-11-01
11,1983,27.94,-0.76,1983-11-01
11,1984,27.96,-0.75,1984-11-01
11,1985,28.51,-0.2,1985-11-01
11,1986,29.19,0.49,1986-11-01
11,1987,29.59,0.88,1987-11-01
11,1988,27.15,-1.55,1988-11-01
11,1989,28.3,-0.41,1989-11-01
11,1990,29.16,0.46,1990-11-01
11,1991,29.43,0.72,1991-11-01
11,1992,28.8,0.09,1992-11-01
11,1993,28.92,0.22,1993-11-01
11,1994,29.55,0.84,1994-11-01
11,1995,28.32,-0.39,1995-11-01
11,1996,28.59,-0.12,1996-11-01
11,1997,29.44,0.73,1997-11-01
11,1998,27.51,-1.2,1998-11-01
11,1999,27.72,-0.99,1999-11-01
11,2000,28.09,-0.62,2000-11-01
11,2001,28.92,0.22,2001-11-01
11,2002,29.66,0.96,2002-11-01
11,2003,29.24,0.54,2003-11-01
11,2004,29.56,0.86,2004-11-01
11,2005,28.69,-0.01,2005-11-01
11,2006,29.59,0.88,2006-11-01
11,2007,28.0,-0.71,2007-11-01
11,2008,28.16,-0.54,2008-11-01
11,2009,29.87,1.17,2009-11-01
11,2010,27.54,-1.16,2010-11-01
12,1951,28.52,-0.05,1951-12-01
12,1952,28.34,-0.23,1952-12-01
12,1953,28.8,0.23,1953-12-01
12,1954,27.71,-0.87,1954-12-01
12,1955,27.23,-1.35,1955-12-01
12,1956,28.09,-0.49,1956-12-01
12,1957,28.98,0.4,1957-12-01
12,1958,28.86,0.29,1958-12-01
12,1959,28.1,-0.47,1959-12-01
12,1960,28.41,-0.16,1960-12-01
12,1961,28.1,-0.47,1961-12-01
12,1962,27.9,-0.67,1962-12-01
12,1963,28.66,0.08,1963-12-01
12,1964,27.27,-1.3,1964-12-01
12,1965,29.01,0.43,1965-12-01
12,1966,28.38,-0.2,1966-12-01
12,1967,28.26,-0.31,1967-12-01
