time,wind
1966-07-01,7.3375270137794475
1966-08-01,10.477530371723752
1966-09-01,11.885418431358797
1966-10-01,8.29225803593241
1966-11-01,9.882369470855789
1966-12-01,14.50537555217713
1967-01-01,15.650887708897784
1967-02-01,20.69592438362081
1967-03-01,19.945514269574296
1967-04-01,14.02410769709027
1967-05-01,9.958984463952921
1967-06-01,8.699642096573378
1967-07-01,12.388497360812487
1967-08-01,10.889280898738168
1967-09-01,11.875664460425966
1967-10-01,6.213988684152527
1967-11-01,10.636134016231818
1967-12-01,20.113662213281557
1968-01-01,20.387797685642376
1968-02-01,25.180584043988176
1968-03-01,24.021612571135076
1968-04-01,20.020713711425106
1968-05-01,9.714248058562097
1968-06-01,4.315268898008567
1968-07-01,12.19967641870975
1968-08-01,9.952318078464339
