month,year,nino3
11,1970,23.76
11,1971,23.97
11,1972,27.01
11,1973,23.45
11,1974,24.21
11,1975,23.73
11,1976,25.83
11,1977,25.31
11,1978,24.88
11,1979,25.64
11,1980,25.07
11,1981,24.85
11,1982,27.54
11,1983,24.42
11,1984,24.25
11,1985,24.51
11,1986,25.83
11,1987,26.2
11,1988,23.66
11,1989,24.67
11,1990,25.02
11,1991,26.08
11,1992,24.92
11,1993,25.23
11,1994,25.98
11,1995,24.23
11,1996,24.65
11,1997,28.29
11,1998,24.59
11,1999,23.8
11,2000,24.57
11,2001,24.51
11,2002,26.35
11,2003,25.83
11,2004,25.78
11,2005,24.3
11,2006,26.33
11,2007,23.99
11,2008,25.14
11,2009,26.15
11,2010,24.04
12,1951,25.84
12,1952,24.82
12,1953,25.45
12,1954,24.0
12,1955,23.33
12,1956,24.18
12,1957,26.55
12,1958,24.98
12,1959,24.79
12,1960,24.61
12,1961,24.7
12,1962,24.21
12,1963,25.96
12,1964,23.86
12,1965,26.42
12,1966,24.29
12,1967,24.13
12,1968,25.71
12,1969,25.95
12,1970,24.02
12,1971,23.87
12,1972,27.32
12,1973,23.65
12,1974,24.4
12,1975,23.56
12,1976,25.84
12,1977,25.55
12,1978,25.25
12,1979,25.73
12,1980,25.34
12,1981,25.31
12,1982,28.04
12,1983,24.73
12,1984,24.18
12,1985,24.62
12,1986,26.09
12,1987,26.34
12,1988,23.85
12,1989,24.95
12,1990,25.28
12,1991,26.46
12,1992,25.16
12,1993,25.44
12,1994,26.16
12,1995,24.42
12,1996,24.43
12,1997,28.44
12,1998,24.45
12,1999,23.9
12,2000,24.78
12,2001,24.7
12,2002,26.45
12,2003,26.04
12,2004,26.01
12,2005,24.32
12,2006,26.5
12,2007,24.11
12,2008,24.92
12,2009,26.36
12,2010,24.3
